Volunteer,SNR,Median_Sigma,Median_b0
V001,10.009561268534032,3.7400751930562486e-06,96.11917999716694
V002,7.626054807630755,4.340956692568453,45.63564961879976
V003,8.227522382084647,3.7177540675904926e-06,44.657745369341086
V004,7.349020759267809,3.345160372730802,26.71839060929136
V005,7.706436112032001,8.077308076189393,63.580348630657205
V006,10.859041891351108,5.19101637993096,45.11892824785698
V007,7.712583341725113,5.544281532963898,45.80195570084069
V008,7.540515714238751,2.8992057350721403,31.126039360973976
V009,8.653618747077319,5.783506768421918,47.81715134341368
V010,11.42551519644454,2.9218987811668367e-06,43.99214758108489
V011,8.531618967435834,6.07488872979687,68.71061086707303
